author,datetime,link,subtitle,title
France Presse, 07/03/2023 10h55 ,https://g1.globo.com/mundo/noticia/2023/03/07/belarus-prende-20-pessoas-por-suposta-sabotagem-de-aviao-militar-russo.ghtml, Presidente Lukashenko admitiu nesta terça que um avião A-50 russo foi atacado.,Belarus prende 20 pessoas por suposta sabotagem de avião militar russo
Valdo Cruz, 07/03/2023 10h55 ,https://g1.globo.com/politica/blog/valdo-cruz/post/2023/03/07/claudio-castro-vai-pedir-a-haddad-revisao-de-regime-de-recuperacao-fiscal-do-rio.ghtml,,Cláudio Castro vai pedir a Haddad revisão de Regime de Recuperação Fiscal do Rio
g1, 07/03/2023 10h51 ,https://g1.globo.com/pop-arte/noticia/2023/03/07/rita-lee-anuncia-outra-autobiografia-novo-livro-de-cantora-esta-em-pre-venda-e-sera-lancado-em-maio.ghtml,"Em tratamento contra câncer, cantora recebeu alta de hospital na última sexta-feira (4). ",Rita Lee anuncia 'Outra Autobiografia'; novo livro da cantora está em pré-venda e será lançado em maio
Thaís Espírito Santo* Rio, 07/03/2023 10h30 ,https://g1.globo.com/rj/rio-de-janeiro/noticia/2023/03/07/camera-registra-movimentacao-de-criminosos-com-fuzis-na-baixada-fluminense-video.ghtml,"Flagrante foi no bairro Pilar, em Duque de Caxias, na madrugada de segunda (6). Objetivo dos criminosos seria instalar o tráfico de drogas na região. ",Câmera registra movimentação de criminosos com fuzis na Baixada Fluminense; vídeo
g1, 07/03/2023 10h33 ,https://g1.globo.com/economia/noticia/2023/03/07/ibovespa.ghtml,"Na véspera, o principal índice do mercado de ações brasileiro subiu 0,80%, aos 104.700 pontos.","Ibovespa volta a cair, com fiscal e juros dos EUA em foco"
g1, 07/03/2023 09h48 ,https://g1.globo.com/educacao/noticia/2023/03/07/prouni-2023-programa-divulga-classificados-na-primeira-chamada.ghtml,Programa oferece bolsas integrais e parciais em instituições particulares de ensino superior. Candidato deve ter feito Enem 2021 ou 2022 e obtido nota mínima nas provas e redação.,Prouni 2023: programa divulga classificados na primeira chamada
g1 Bauru e Marília, 07/03/2023 09h41 ,https://g1.globo.com/sp/bauru-marilia/noticia/2023/03/07/centro-oeste-de-sp-inicia-semana-com-quase-500-vagas-de-emprego-veja-como-se-candidatar.ghtml,"Destaque da semana fica com o programa 'Emprega Bauru', que oferece 300 vagas. Há ainda oportunidades em Marília, Jaú e Lençóis Paulista (SP); nesta última, além do PAT, há vagas em uma empresa de celulose. ",Centro-oeste de SP inicia semana com quase 500 vagas de emprego; veja como se candidatar
Valdo Cruz, 07/03/2023 09h21 ,https://g1.globo.com/politica/blog/valdo-cruz/post/2023/03/07/pl-quer-distancia-do-caso-das-joias-ala-raiz-do-partido-mostra-incomodo-e-valdemar-adota-o-silencio.ghtml,,"PL quer distância do caso das joias; ala 'raiz' demonstra incômodo, e Valdemar adota o silêncio"
"Maria Morganti e Daniella Dias, Bom Dia Rio", 07/03/2023 09h26 ,https://g1.globo.com/rj/rio-de-janeiro/noticia/2023/03/07/alunos-da-escola-de-teatro-martins-pena-denunciam-que-local-tem-rachaduras-infiltracoes-e-ate-cupins.ghtml,"Na segunda-feira (6), estudantes fizeram um protesto pedindo melhorias. ","Alunos da Escola de Teatro Martins Pena denunciam que local tem rachaduras, infiltrações e até cupins"
"Gisela Pereira e Rayssa Colafranceschi, Bom Dia Rio", 07/03/2023 09h29 ,https://g1.globo.com/rj/rio-de-janeiro/noticia/2023/03/07/memorias-kelsons-estreia-serie-que-vai-contar-a-historias-das-comunidades-do-rio.ghtml,"Bom Dia Rio foi até a favela, uma das mais antigas da Maré, à beira da Baía de Guanabara.",Memórias: Kelson’s estreia série que vai contar a história das comunidades do Rio; local se firmou graças à Madre Teresa
g1, 07/03/2023 09h58 ,https://g1.globo.com/economia/noticia/2023/03/07/dinheiro-esquecido-fila-para-saques.ghtml,Serviço do Banco Central liberou acesso para saques nesta terça-feira (7). Tempo de espera estimado chegou a duas horas e site orientou usuários a retornar 'em outro momento'. BC diz que dinheiro ficará disponível 'pelo tempo que for necessário'.,'Dinheiro esquecido': fila de saques chega a 300 mil pessoas e site enfrenta instabilidades
